State,District,Tehsil,Crop,Total_Area,Irrigated_Area,Unirrigated_Area
AndhraPradesh,Anantapur,Amadaguru,Jowar_Kharif,11,11,0
AndhraPradesh,Anantapur,Ananthapuram,Jowar_Kharif,474,0,474
AndhraPradesh,Anantapur,Atmakuru,Jowar_Kharif,2366,0,2366
AndhraPradesh,Anantapur,Bathalapalli,Jowar_Kharif,815,0,815
AndhraPradesh,Anantapur,Bommanahal,Jowar_Kharif,845,454,390
AndhraPradesh,Anantapur,Brahmasamudram,Jowar_Kharif,125,114,11
AndhraPradesh,Anantapur,Bukkapatnam,Jowar_Kharif,117,0,117
AndhraPradesh,Anantapur,Bukkarayasamudram,Jowar_Kharif,360,12,348
AndhraPradesh,Anantapur,ChenneKathapalli,Jowar_Kharif,877,0,877
AndhraPradesh,Anantapur,Chilamatturu,Jowar_Kharif,18,0,18
AndhraPradesh,Anantapur,Dandinahirehal,Jowar_Kharif,927,82,845
AndhraPradesh,Anantapur,Dharmavaram,Jowar_Kharif,1375,0,1375
AndhraPradesh,Anantapur,Gandlapenta,Jowar_Kharif,72,4,68
AndhraPradesh,Anantapur,Garladinne,Jowar_Kharif,193,7,186
AndhraPradesh,Anantapur,Gorantla,Jowar_Kharif,139,5,133
AndhraPradesh,Anantapur,Gudibanda,Jowar_Kharif,735,0,735
AndhraPradesh,Anantapur,Gummagatta,Jowar_Kharif,135,32,104
AndhraPradesh,Anantapur,Guntakal,Jowar_Kharif,154,0,154
AndhraPradesh,Anantapur,Gutti,Jowar_Kharif,2854,298,2556
AndhraPradesh,Anantapur,Kanekal,Jowar_Kharif,772,213,559
AndhraPradesh,Anantapur,Kuderu,Jowar_Kharif,1005,0,1005
AndhraPradesh,Anantapur,Madakasira,Jowar_Kharif,1624,0,1624
AndhraPradesh,Anantapur,Nallacheruvu,Jowar_Kharif,11,11,0
AndhraPradesh,Anantapur,Nallamada,Jowar_Kharif,10,4,6
AndhraPradesh,Anantapur,Pamidi,Jowar_Kharif,635,22,614
AndhraPradesh,Anantapur,Parigi,Jowar_Kharif,545,0,545
AndhraPradesh,Anantapur,Peddapappuru,Jowar_Kharif,1231,0,1231
AndhraPradesh,Anantapur,Peddavadaguru,Jowar_Kharif,332,0,332
AndhraPradesh,Anantapur,Penukonda,Jowar_Kharif,311,0,311
AndhraPradesh,Anantapur,Putluru,Jowar_Kharif,4775,108,4666
AndhraPradesh,Anantapur,Puttaparthi,Jowar_Kharif,43,0,43
AndhraPradesh,Anantapur,Rayadurgam,Jowar_Kharif,119,26,93
AndhraPradesh,Anantapur,Roddam,Jowar_Kharif,84,0,84
AndhraPradesh,Anantapur,Setturu,Jowar_Kharif,179,0,179
AndhraPradesh,Anantapur,Singanamala,Jowar_Kharif,74,0,74
AndhraPradesh,Anantapur,Somandepalli,Jowar_Kharif,111,0,111
AndhraPradesh,Anantapur,Tadimarri,Jowar_Kharif,178,6,171
AndhraPradesh,Anantapur,Tadipatri,Jowar_Kharif,3247,1,3245
AndhraPradesh,Anantapur,Tanakallu,Jowar_Kharif,35,35,0
